"","STATE","total_GDP","NUCLEAR","COAL","NATURAL.GAS","PETROLEUM","HYDRO","GEOTHERMAL","SOLARPV","WIND","BIOMASS_OTHER","called_b","dem_votes","rep_votes","other_votes","dem_percent","rep_percent","other_percent","Rank","consumption_Tbtu","index"
"35","North Dakota",54.03,0,57.3,3.6,0.1,8.1,0,0,30.8,0.1,1,"114,902.00","235,595.00","11,322.00",31.8,65.1,3.1,13,661,0.04636
"36","Ohio",675.04,15,37.2,44,0.9,0.3,0,0.2,1.9,0.6,1,"2,679,165.00","3,154,834.00","88,203.00",45.2,53.3,1.5,44,3755.9,0.26341
"37","Oklahoma",186.58,0,7.1,52.4,0,4.6,0,0.1,35.4,0.4,1,"503,890.00","1,020,280.00","36,529.00",32.3,65.4,2.3,30,1706.5,0.11968
"38","Oregon",250.46,0,2.5,28.9,0,51.9,0.2,1.7,13.2,1.6,0,"1,340,383.00","958,448.00","75,490.00",56.5,40.4,3.2,20,1012.2,0.07099
"39","Pennsylvania",780.18,33.1,10.3,52.3,0,1.3,0,0.1,1.7,1.2,0,"3,458,229.00","3,377,674.00","79,380.00",50,48.8,1.1,46,3961.6,0.27784
"40","Rhode Island",60.22,0,0,91.8,0.1,0,0,2.6,2.9,2.6,0,"307,486.00","199,922.00","10,349.00",59.4,38.6,2,3,197.4,0.01384
"41","South Carolina",241.69,55.8,12.7,24.8,0.1,2.5,0,1.8,0,2.4,1,"1,091,541.00","1,385,103.00","36,685.00",43.4,55.1,1.5,29,1671.8,0.11725
"42","South Dakota",54.85,0,9.7,6.9,0.1,50.5,0,0,32.9,0,1,"150,471.00","261,043.00","11,095.00",35.6,61.8,2.6,8,396.8,0.02783
"43","Tennessee",364.49,47.3,18.4,20.2,0.1,12.4,0,0.4,0.1,1,1,"1,143,711.00","1,852,475.00","57,665.00",37.5,60.7,1.9,38,2255.9,0.15821
"44","Texas",1759.73,8.7,16.6,52.7,0,0.4,0,1.7,19.6,0.4,1,"5,259,126.00","5,890,347.00","165,583.00",46.5,52.1,1.5,51,14258.8,1
"45","Utah",194.99,0,61.5,25.4,0.1,2.6,1,6.7,2.2,0.6,1,"560,282.00","865,140.00","62,867.00",37.6,58.1,4.2,18,835.1,0.05857
"46","Vermont",32.8,0,0,0.1,0,57.8,0,8,16.2,17.8,0,"242,820.00","112,704.00","11,904.00",66.1,30.7,3.2,1,139.2,0.00976
"47","Virginia",551.76,29.5,3.7,60.7,0.2,0.5,0,1.4,0,3.9,0,"2,413,568.00","1,962,430.00","84,526.00",54.1,44,1.9,39,2401.2,0.1684
"48","Washington",618.7,8.3,4.5,12.4,0,66.1,0,0,7.3,1.4,0,"2,369,612.00","1,584,651.00","133,368.00",58,38.8,3.3,36,2078.7,0.14578
"49","West Virginia",73.71,0,88.4,5,0.3,3.1,0,0,3.3,0,1,"235,984.00","545,382.00","13,286.00",29.7,68.6,1.7,17,832.9,0.05841
"50","Wisconsin",338.68,16,39,34.8,0.2,4.7,0,0.2,2.9,2.2,0,"1,630,866.00","1,610,184.00","56,991.00",49.4,48.8,1.7,33,1885.9,0.13226
"51","Wyoming",36.24,0,80,4.3,0.1,2.6,0,0.4,12.3,0.2,1,"73,491.00","193,559.00","9,715.00",26.6,69.9,3.5,11,558.6,0.03918
